target_label,slug,method_name,run_name,n_control_eval,n_perturbed_eval,embedding_dim,epsilon,tau_a,tau_b,rank,evaluation_style,centroid_control_to_perturbed,centroid_bary_to_perturbed,centroid_ratio_bary_to_pert_over_ctrl_to_pert,mmd2_gamma_common_eval,mmd2_control_to_perturbed,mmd2_bary_to_perturbed,mmd2_ratio_bary_to_pert_over_ctrl_to_pert,clf_acc_control_vs_perturbed,clf_auc_control_vs_perturbed,clf_sep_auc_control_vs_perturbed,clf_auc_dist_from_0p5_control_vs_perturbed,clf_acc_bary_vs_perturbed,clf_auc_bary_vs_perturbed,clf_sep_auc_bary_vs_perturbed,clf_auc_dist_from_0p5_bary_vs_perturbed,transport_mass_total,row_mass_min,row_mass_max,col_mass_min,col_mass_max,row_entropy_mean,row_entropy_median,effective_targets_per_source_mean,effective_targets_per_source_median,annot_label_transfer_acc_source_to_target,annot_label_transfer_mean_max_prob,converged,transport_cost,old_separate_bandwidth_mmd2_control_to_perturbed,old_separate_bandwidth_mmd2_bary_to_perturbed,old_separate_bandwidth_mmd2_ratio_bary_to_pert_over_ctrl_to_pert
SMARCE1 KO,SMARCE1_KO,rna_only_pca,rna_only_pca__eps0p001__taua1__taub1,229,57,50,0.001,1.0,1.0,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,2.459124803543091,0.00132643966935575,0.0005393950186849502,0.027361187669793948,0.10760354059668831,0.0006400146627432157,0.0059478959446331945,0.8953488372093024,0.9360613810741687,0.9360613810741687,0.4360613810741687,0.2441860465116279,0.08780903665814152,0.9121909633418585,0.41219096334185845,0.9999966845356892,0.00436544232070446,0.004369607660919428,0.017505809545885855,0.017605791401855392,0.19181882966406794,0.002534025309982226,1.2700431173358748,1.0025372386657865,1.0,1.0,True,0.8431757688522339,0.1076079706021241,0.0007174966841653,0.0066676908796861
SMARCE1 KO,SMARCE1_KO,rna_only_pca,rna_only_pca__eps0p001__taua0p95__taub0p95,229,57,50,0.001,0.95,0.95,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,2.459124803543091,0.9860506057739258,0.40097623526598997,0.029931465170231167,0.10794007865849276,0.019514844892476013,0.18079331732023507,0.8953488372093024,0.9360613810741687,0.9360613810741687,0.4360613810741687,0.46511627906976744,0.2331628303495311,0.7668371696504689,0.2668371696504689,0.027072655046505672,0.0,0.0012982555018078434,0.0,0.0036002887047673093,0.10596452061647404,0.00020704703562097663,1.144071794987853,1.0002070684713378,1.0,0.9781659388646288,True,0.0381815806031227,0.1076079706021241,0.0205817288136258,0.1912658393096726
SMARCE1 KO,SMARCE1_KO,rna_only_pca,rna_only_pca__eps0p001__taua0p9__taub0p9,229,57,50,0.001,0.9,0.9,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,2.459124803543091,1.0223515033721924,0.4157379494929233,0.030139742208279,0.1079358225452064,0.023322677668108582,0.21607912107530772,0.8953488372093024,0.9360613810741687,0.9360613810741687,0.4360613810741687,0.5232558139534884,0.27408354646206307,0.725916453537937,0.22591645353793693,0.002144896201367063,0.0,0.00032761070232506517,0.0,0.0007827537468650314,0.08795370899174683,0.00021810593976072032,1.116973971956116,1.0002181297265904,1.0,0.9781659388646288,True,0.0189763735979795,0.1076079706021241,0.0246359183998476,0.2289413903263536
SMARCE1 KO,SMARCE1_KO,rna_only_pca,rna_only_pca__eps0p003__taua1__taub1,229,57,50,0.003,1.0,1.0,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,2.459124803543091,0.002317515667527914,0.0009424148234318375,0.028222597324740712,0.10780057073827631,0.0023080868946498967,0.02141071126843648,0.8953488372093024,0.9360613810741687,0.9360613810741687,0.4360613810741687,0.27906976744186046,0.08056265984654733,0.9194373401534527,0.4194373401534527,0.9999953561391559,0.004365439992398024,0.004367422632129947,0.017497021094554744,0.017627904484202112,0.3750982699453556,0.2236738059580883,1.5809303701373227,1.2506629940671552,1.0,1.0,True,0.8506961464881897,0.1076079706021241,0.0026860305892346,0.0249612605293538
SMARCE1 KO,SMARCE1_KO,rna_only_pca,rna_only_pca__eps0p003__taua0p95__taub0p95,229,57,50,0.003,0.95,0.95,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,2.459124803543091,0.8961004018783569,0.364398098293857,0.030504000475008397,0.10791792464318817,0.017028125269718974,0.15778773846902178,0.8953488372093024,0.9360613810741687,0.9360613810741687,0.4360613810741687,0.36046511627906974,0.123614663256607,0.876385336743393,0.37638533674339303,0.25329663993334306,0.0,0.004734931435642867,0.0,0.011667833266296616,0.3479558985339388,0.19646779611399146,1.5230085728601361,1.2170961250221963,1.0,0.9781659388646288,True,0.0937606766819953,0.1076079706021241,0.0187264795064993,0.1740250225119444
SMARCE1 KO,SMARCE1_KO,rna_only_pca,rna_only_pca__eps0p003__taua0p9__taub0p9,229,57,50,0.003,0.9,0.9,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,2.459124803543091,0.9671894311904907,0.3933063624086791,0.03100704056258387,0.10787194989682469,0.023479086553676143,0.2176570144150817,0.8953488372093024,0.9360613810741687,0.9360613810741687,0.4360613810741687,0.45348837209302323,0.1764705882352941,0.8235294117647058,0.3235294117647059,0.0835424740059878,0.0,0.002290382439673565,0.0,0.007161469348827595,0.32142195626965375,0.14738758578104416,1.4945027403799211,1.1588030115721353,1.0,0.9781659388646288,True,0.0540844798088073,0.1076079706021241,0.0256493768209509,0.2383594512323663
SMARCE1 KO,SMARCE1_KO,rna_only_pca,rna_only_pca__eps0p01__taua1__taub1,229,57,50,0.01,1.0,1.0,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,2.459124803543091,0.005611385218799114,0.0022818627223450665,0.031248609508005273,0.1078413627005298,0.018011018826095793,0.1670140136870443,0.8953488372093024,0.9360613810741687,0.9360613810741687,0.4360613810741687,0.3953488372093023,0.06692242114236999,0.93307757885763,0.43307757885763,1.0000014606247276,0.004366485550679825,0.004367107631438723,0.017419667020985907,0.017594742551749865,1.1035453319386954,1.1276056091862794,3.6114982897719523,3.088253155425661,1.0,1.0,True,0.8738240599632263,0.1076079706021241,0.0241156973497294,0.2241069803174354
SMARCE1 KO,SMARCE1_KO,rna_only_pca,rna_only_pca__eps0p01__taua0p95__taub0p95,229,57,50,0.01,0.95,0.95,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,2.459124803543091,0.8090157508850098,0.3289852347954789,0.03279773498573818,0.10752178332324325,0.03068078315110223,0.2853448129563332,0.8953488372093024,0.9360613810741687,0.9360613810741687,0.4360613810741687,0.4069767441860465,0.10230179028132992,0.8976982097186701,0.3976982097186701,0.693966013341627,0.0,0.005667493529264875,4.690457558651092e-34,0.018273436503057527,1.104991015059276,1.1236533727108813,3.567066079955654,3.076071736440062,1.0,0.982532751091703,True,0.177498921751976,0.1076079706021241,0.0394069020115462,0.3662080214973259
SMARCE1 KO,SMARCE1_KO,rna_only_pca,rna_only_pca__eps0p01__taua0p9__taub0p9,229,57,50,0.01,0.9,0.9,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,2.459124803543091,0.8549676537513733,0.34767151814317904,0.033634110700949064,0.10726657816184915,0.039063068190997474,0.36416812077343585,0.8953488372093024,0.9360613810741687,0.9360613810741687,0.4360613810741687,0.4418604651162791,0.11508951406649617,0.8849104859335039,0.38491048593350385,0.5079132420250317,0.0,0.006429041550108966,0.0,0.017863499713515987,1.0994251189477033,1.114490495325323,3.5161611423910295,3.048014805698773,1.0,0.9781659388646288,True,0.1307933926582336,0.1076079706021241,0.0501434764123194,0.4659829205191759
YY1 KO,YY1_KO,rna_only_pca,rna_only_pca__eps0p001__taua1__taub1,229,47,50,0.001,1.0,1.0,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,0.9440398216247559,0.0010946003021672368,0.0011594853067568233,0.029522105170509644,0.023105958966510465,0.0005151111889145632,0.022293434765514816,0.6626506024096386,0.5973084886128365,0.5973084886128365,0.09730848861283647,0.3132530120481928,0.13198757763975152,0.8680124223602484,0.36801242236024845,0.9999853610864919,0.004359953512903303,0.004367003885286019,0.021234524276645985,0.021313427455111878,0.13315235024373395,1.88487284275692e-05,1.1804403465874134,1.000018848906066,1.0,1.0,True,0.7939279675483704,0.0228362893679274,0.0005357358400549,0.0234598463622276
