regime,model,ko,n_train,n_test_ntc,n_real_ko,pcc_DE20,pcc_DE100,pcc_all
far_train,only_fix1_CD,ACTL6A,1627,286,104,0.9560818076133728,0.9518998861312866,0.8875256776809692
far_train,only_fix1_CD_rna,ACTL6A,1627,286,104,0.7920968532562256,0.7029823660850525,0.5648672580718994
far_train,linear_mf,ACTL6A,1627,286,104,0.9317028522491455,0.8776953220367432,0.7145665884017944
far_train,mean_pert,ACTL6A,1627,286,104,0.5254321694374084,0.43454065918922424,0.29826241731643677
far_train,only_fix1_CD,DMAP1,1627,286,231,0.9699163436889648,0.9650209546089172,0.914395809173584
far_train,only_fix1_CD_rna,DMAP1,1627,286,231,0.8417617082595825,0.6569908261299133,0.4844925105571747
far_train,linear_mf,DMAP1,1627,286,231,0.8767858147621155,0.7703931331634521,0.5473035573959351
far_train,mean_pert,DMAP1,1627,286,231,0.5742441415786743,0.34908419847488403,0.16891136765480042
far_train,only_fix1_CD,EP400,1627,286,166,0.9701200127601624,0.9265876412391663,0.8300011157989502
far_train,only_fix1_CD_rna,EP400,1627,286,166,0.8361592888832092,0.7078976631164551,0.5503709316253662
far_train,linear_mf,EP400,1627,286,166,0.8882021903991699,0.834434986114502,0.6158769726753235
far_train,mean_pert,EP400,1627,286,166,0.3727027475833893,0.37682417035102844,0.1959940493106842
far_train,only_fix1_CD,EZH2,1627,286,196,0.7508752346038818,0.7672528624534607,0.6194771528244019
far_train,only_fix1_CD_rna,EZH2,1627,286,196,0.7899956107139587,0.693223237991333,0.536013126373291
far_train,linear_mf,EZH2,1627,286,196,0.7215138077735901,0.30003029108047485,0.23769710958003998
far_train,mean_pert,EZH2,1627,286,196,-0.13041362166404724,-0.5654307007789612,-0.43441081047058105
far_train,only_fix1_CD,SMARCA4,1627,286,65,0.8701403141021729,0.8004665374755859,0.6751049160957336
far_train,only_fix1_CD_rna,SMARCA4,1627,286,65,0.7143683433532715,0.6409862637519836,0.4914727509021759
