model,ko,split,n_real_ko_cells,norm_delta_real,norm_delta_pred,pcc_all,expr_pcc_all,pcc_DE20,mse_DE20,expr_pcc_DE20,pcc_DE50,mse_DE50,expr_pcc_DE50,pcc_DE100,mse_DE100,expr_pcc_DE100,pcc_DE500,mse_DE500,expr_pcc_DE500,pcc_DE1000,mse_DE1000,expr_pcc_DE1000,mse_all,cos_sim_delta,cos_sim_expr,per_cell_pcc_DE20,per_cell_pcc_DE50,per_cell_pcc_DE100,per_cell_pcc_DE500,per_cell_pcc_DE1000,per_cell_pcc_all,spread_pred,mmd2_pred_vs_real_DE100,spread_real
cvae_only_fix1_CD,ACTL6A,test,10,7.673104763031006,2.741544008255005,0.7228930592536926,0.9295138716697693,0.9020950794219971,0.6453307867050171,0.43746417760849,0.8772963285446167,0.38341549038887024,0.6288527846336365,0.8712440729141235,0.24519389867782593,0.7330482006072998,0.7471364736557007,0.0703042596578598,0.8745740652084351,0.7260352969169617,0.03589995577931404,0.917885422706604,0.01799187995493412,0.7227755784988403,0.9381609559059143,0.8234586715698242,0.7610604166984558,0.7184373736381531,0.577478289604187,0.5573464632034302,0.554168164730072,0.024563796818256378,0.5011464506698664,0.1471325010061264
cvae_only_fix1_CD,ACTL6A,val_test,20,6.624892234802246,2.430006504058838,0.7270426154136658,0.9441701173782349,0.9387078285217285,0.47593483328819275,0.687410295009613,0.8919382095336914,0.30387604236602783,0.6467830538749695,0.8201671838760376,0.19700883328914642,0.7386303544044495,0.749188244342804,0.051596060395240784,0.8996598720550537,0.7327724695205688,0.026274828240275383,0.9346294403076172,0.013193395920097828,0.7270023822784424,0.951495885848999,0.7715590596199036,0.7430011034011841,0.6591073274612427,0.549307107925415,0.5350214838981628,0.5302171111106873,0.02538776397705078,0.46140300501093,0.16698403656482697
cvae_only_fix1_CD,ACTL6A,all,104,5.6835455894470215,2.2310848236083984,0.842560887336731,0.9654191732406616,0.8965350985527039,0.3298923969268799,0.6848385334014893,0.9346639513969421,0.19474847614765167,0.8290024995803833,0.9129072427749634,0.12238369137048721,0.8438349962234497,0.8545474410057068,0.031235262751579285,0.9344040155410767,0.8444308638572693,0.015843499451875687,0.9533777236938477,0.007942664436995983,0.8436239957809448,0.970375120639801,0.7182998061180115,0.7020218968391418,0.6791667938232422,0.5783529877662659,0.5698979496955872,0.5686331987380981,0.027760032564401627,0.38722608421240373,0.21162690222263336
cvae_only_fix1_CD,DMAP1,test,23,5.017430782318115,2.8886947631835938,0.6715994477272034,0.9654580354690552,0.8661375641822815,0.15337084233760834,0.6949115991592407,0.8464100956916809,0.11577944457530975,0.8149970173835754,0.8128461241722107,0.08289482444524765,0.8274819254875183,0.7116155028343201,0.026040347293019295,0.9350577592849731,0.6782383918762207,0.013962916098535061,0.9588907361030579,0.007059477735310793,0.6692578196525574,0.9703803658485413,0.8373326659202576,0.7581890821456909,0.7032232880592346,0.5956910252571106,0.566259503364563,0.5591261386871338,0.02284073270857334,0.4488581370234792,0.18071943521499634
cvae_only_fix1_CD,DMAP1,val_test,46,4.832782745361328,2.599473714828491,0.7517780065536499,0.9741023182868958,0.8658013939857483,0.16574740409851074,0.7682109475135803,0.8742120265960693,0.10624439269304276,0.7893796563148499,0.8659906387329102,0.07099014520645142,0.8545930981636047,0.7698554992675781,0.02149822749197483,0.9582017064094543,0.7530496120452881,0.011169222183525562,0.9694172143936157,0.005608314648270607,0.7520850300788879,0.9777083396911621,0.7512189745903015,0.7540411949157715,0.7345870137214661,0.6111297607421875,0.5918506383895874,0.5906339287757874,0.02354569174349308,0.42563787425084887,0.18753986060619354
cvae_only_fix1_CD,DMAP1,all,231,4.915103912353516,2.368222951889038,0.896541953086853,0.9835523366928101,0.8761786222457886,0.1823042929172516,0.887764573097229,0.9332757592201233,0.11386501044034958,0.8952459692955017,0.9379829168319702,0.06975656747817993,0.9087827801704407,0.9017726182937622,0.017492428421974182,0.9730854630470276,0.8971585035324097,0.008851385675370693,0.9806568026542664,0.004435721319168806,0.897558867931366,0.9858479499816895,0.763102650642395,0.7807141542434692,0.7758230566978455,0.6704607605934143,0.6614888906478882,0.6607732176780701,0.025767279788851738,0.39232733652308416,0.1996757835149765
cvae_only_fix1_CD,EP400,test,17,6.135895729064941,2.1424381732940674,0.6177560687065125,0.9475557208061218,0.8161793947219849,0.3296368718147278,0.6639713644981384,0.7752870321273804,0.23938459157943726,0.7702903151512146,0.7504628300666809,0.17076578736305237,0.7713465690612793,0.6650971174240112,0.04985528439283371,0.914073646068573,0.6278039216995239,0.02582480199635029,0.9363334774971008,0.012974646873772144,0.6195890307426453,0.9552199840545654,0.6552543044090271,0.5888376832008362,0.5201207399368286,0.4453619122505188,0.4207351803779602,0.4139188826084137,0.024742446839809418,0.44027667944068916,0.1920318901538849
cvae_only_fix1_CD,EP400,val_test,34,4.910801887512207,1.8146114349365234,0.6620619297027588,0.9672914743423462,0.8632071614265442,0.22120876610279083,0.7406580448150635,0.8424694538116455,0.15573881566524506,0.8177834153175354,0.806210994720459,0.10437104105949402,0.8536398410797119,0.693060040473938,0.029998483136296272,0.9473870992660522,0.6728039979934692,0.015420103445649147,0.9607479572296143,0.007775741629302502,0.6653037071228027,0.9720445275306702,0.620268702507019,0.5838152170181274,0.5344399213790894,0.42434144020080566,0.4095267057418823,0.40137696266174316,0.0254757609218359,0.41351546319505467,0.1918565034866333
cvae_only_fix1_CD,EP400,all,166,4.479521751403809,1.5589641332626343,0.7749296426773071,0.9740952849388123,0.8802111148834229,0.178292378783226,0.9228776693344116,0.8924615383148193,0.12152542918920517,0.897681713104248,0.8485141396522522,0.08586534857749939,0.8749145865440369,0.7828220129013062,0.02298731915652752,0.9571713209152222,0.776003360748291,0.011616659350693226,0.969244122505188,0.005821691360324621,0.7770627737045288,0.9778850674629211,0.4880909323692322,0.5449740290641785,0.4887494742870331,0.4142536222934723,0.40794992446899414,0.40699848532676697,0.02783386781811714,0.37347056759279873,0.21527525782585144
cvae_only_fix1_CD,EZH2,test,20,5.058605670928955,1.6233521699905396,0.3270564079284668,0.9418915510177612,0.6489563584327698,0.36221808195114136,0.45299744606018066,0.6307045817375183,0.23573260009288788,0.6324537992477417,0.5154816508293152,0.15821267664432526,0.7455139756202698,0.3560324013233185,0.04434383288025856,0.9064762592315674,0.32829511165618896,0.02281373366713524,0.9313489198684692,0.011439108289778233,0.3255365490913391,0.9496038556098938,0.4139457643032074,0.40964803099632263,0.3279283344745636,0.24282915890216827,0.22711892426013947,0.2260163128376007,0.021746190264821053,0.4772580653789933,0.16479381918907166
